Configuration,Nombre de Features,MAE,RMSE,R2,nMAE(%),nRMSE(%),sMAPE(%),Skill(%)
1. Lags Seuls,4,0.03896945466905795,0.08409283259022239,0.8372254992202456,3.896945466905795,8.409283259022239,151.51135425019072,25.556324967568088
2. Lags + Solaire/Temps,10,0.03849137606735935,0.07457839586445315,0.8719750884614816,3.8491376067359346,7.457839586445315,151.35102141149827,26.469602517050163
3. Lags + Temps + Temp,11,0.03172371759977513,0.07290978557328613,0.8760302871341248,3.172371759977513,7.290978557328613,150.46212530688013,39.08879249264688
4. Lags + Temps + Temp + GHI,12,0.034404313536864024,0.0745990175441749,0.8702192829930928,3.4404313536864026,7.459901754417491,150.58755926913497,33.94190720551563
5. Complet (+ Ramp & Deltas),18,0.035112799301191884,0.07443621582496182,0.8752022488251265,3.5112799301191884,7.443621582496182,151.52982935581525,32.76638881577048
