fold,n_sites,n_test,MAE_mean,MAE_std,nMAE_mean,nMAE_std,Skill_mean,Skill_std
1,51,180312,0.0874519934710863,0.018911537730587073,8.74519934710863,1.891153773058708,16.844668647656665,15.097532201579513
2,51,180312,0.07685617322858386,0.01700473982044104,7.685617322858386,1.7004739820441044,18.280253909035338,27.76591791327793
3,51,180312,0.0633159744803589,0.012570539408402304,6.33159744803589,1.2570539408402301,23.9476501637878,28.70344567739825
