Source,Cible,MAE,RMSE,R2,nMAE(%),nRMSE(%),sMAPE(%),Skill(%),N_test,Performance Tier
A (Italie),A (Italie),0.032059882840092625,0.07670355435359846,0.8672967898486246,3.2059882840092624,7.670355435359847,94.51760559011174,38.80407632751598,,Moderate
A (Italie),B (Australie),0.06104629668232185,0.11419096345847002,0.7505828161082646,6.104629668232185,11.419096345847002,92.5058503666069,12.884441846011496,60012.0,Poor
A (Italie),C (Inde),0.05519164635238835,0.10219371629413675,0.8831040774755348,5.519164635238835,10.219371629413674,99.0827248804983,45.96157620243778,3058.0,Moderate
